Day,StateID,Tag,Speech,Response-Transition,Recovery
,,1_9,"In her mind, Lily kept telling herself that her sister was trying to make her angry. Our positive superhero Zip discovered Lily was getting mad so he quickly flew to her side. Zip said to Lily, “'Hang on, why don't you work on helping yourself feel better before you decide what to do next. Let's take three deep breaths and then think about options.",na-10,
,,1_10,"Let’s take three deep breaths together with Lily to help her feel calm. Let’s count together, ready, go. one breath [pause], two breath [pause], three breath. ",na-11,
,,1_11,"Zip continued, “Now let's try some supportive self-talk. and see how it can help you.
First, notice how you feel right now, and remind yourself that no matter how you’re feeling, it's ok to feel that way.' ",na-12,
,,1_12,[Q effect sound] How do you think Lily feels? Remember to press the button after you have finished sharing. ,na-13,
,,1_13,"That’s a great guess. Let’s see what Lily says. 
Lily told Zip, “I’m feeling so angry! I was really proud of that lego tower and excited to play with it, and now it’s gone.”
Zip said to Lily: 'That makes a lot of sense. Don’t forget that our thoughts change how we feel, and our feelings change what we do, so I want you to talk to yourself in way that will help you decide what to think, feel, and do. You can remember this with the letters, T, F, D! Now, you can say something to yourself like, 'My sister undid a lot of my hard and great work, and I am so frustrated! I know it's ok to be frustrated, but I also know I want to be someone who can handle frustration well.”",na-14,
,,1_14,"Lily decided to listen to Zip. Even though she didn’t like what had happened to her Lego tower, she wanted to feel good about herself and choose to do things she felt proud of. So she tried out self-talk and said quietly to herself, “t’s ok. I feel disappointed, but I can build another tower. Monica did this by accident and I want to be a good role model who shows her how to make things right when she makes a mistake.”
So she went to her sister Monica and said, “Monica, I know it was an accident. But I feel really sad that you broke my lego building. I spent hours building it. I hope you can understand how I feel.”

But Monica didn’t like hearing about her sister’s frustration. Monica knew it was just an accident, and she wanted to defend herself. Just as she was about to yell at Lily, Zip flew to her and sat on her right shoulder. He said, “Monica, let’s wait a second before confronting your sister. I know you didn’t like hearing what she said, and you can’t change what happened, but you can change what you think, feel, and do. Let’s try some supportive self-talk. What do you feel right now?”",na-15,
,,1_15,[Q effect sound] How do you think Monica feels? Press the button after you have finished sharing. ,na-16,
,,1_16,"Thanks for sharing, let’s see how Zip continued helping Monica to deal with her feeling. 

Zip continued, “now feel that feeling and think about what kind of sister you want to be.” Monica said quietly to Zip, “I want to be a good sister and be a good friend to my sister”. Zip replied, “That sounds like really good self-talk; do you want to try saying that to yourself three times?” Monica said out loud: 
 “I want to be a good sister and be a good friend to my sister” [pause],  
 “I want to be a good sister and be a good friend to my sister” [pause]. 
 “I want to be a good sister and be a good friend to my sister”. 
“Great job,” said Zip. “So now what do you want to say to your sister about her legos?”",na-17,
,,1_17,"Monica took a deep breath and said to Lily, “Sorry, I accidently broke your lego building. I don’t like the feeling I have when I make you upset. I was just reminding myself that I want to be a good friend and a good sister to you; can we work together to build another building? Maybe we can make a Star Wars ship together!” 
Lily felt her anger evaporate. She and Monica spent half the day building a new lego starship together and had a great time. And in the back of her mind, Lily knew she had a new tool to help her with any chllenge: H-T-F-D. No matter what happens, Lily can talk to herself about her thoughts, which can change her feelings and help her decide what to do. As Zip, he smiled to himself, knowing Lily was now prepared for all that lay ahead.",na-18,
,,1_18,"We have finished today’s story. I have some questions for you to reflect and discuss with your siblings. First question,
[Q effect sound]  Now, that you’ve learned about self-talk, try it out! What is something you want to say to yourself? Take turns sharing and ? press the button after you have finished sharing. ",na-19,
,,1_19,"Hopefully you had a good discussion about your thoughts on self-talk. Whenever you run into problems or experiencing some challenges in your life, remember doing positive self-talk is a really important skill which can help you deal with your emotions and think clearly about how to solve these problems!",na-20,
,,1_20,[Q effect sound] have you used self-talk before? Can you share with me how you use self-talk and how it helped you? Press the button after you have finished sharing. ,na-21,
,,1_21,"Great, hope you learn how to do self-talk now. ",na-22,
,,1_22,"Before we end our day’s story. I want to leave you a take home question: 
[Q effect sound] “When you feel sad after you failed a math examination, how can you use positive self-talk to help yourself?”
Think about this question, and I will ask you to share with me during tomorrow's story time.",na-finish,
1,finish,1_f,Thanks for attending today’s story and learning self-talk skill. Come back tomorrow to learn more about what happened to our Superhero Zip! See you tomorrow! ,na-finish,"Sorry, I did not catch that. Can you say again?"
