Day,StateID,Tag,Speech,Response-Transition,Recovery
2,greeting,2_g,Thanks for coming back!  Today is day two with our superhero Zip. Let’s  see how he will lead us to a new adventure!,na-0,recovery
2,0,2_0,"If you are ready, say I am ready to start day two and press the button.",na-1,recovery
2,1,2_1,"Great, welcome back to Superhero Skill! Yesterday, we learned about self-talk and why positive self-talk is so important. Before we begin today’s story, let’s see what you remember! 
[Q Sound Effect] “What were the four letters that Zip taught Lily, and what do they stand for?” Press the button after you have finished sharing to continue. ",na-2,recovery
2,2_1_1,2_1_1_testing(audio),This is day two testing file. Press the button when you have done speaking. ,na-2,recovery
2,2,2_2,"Great! H-T-F-D for happens, think, feel, do. No matter what happens to you, you can use self-talk to decide what you think about the situation, which will affect how you feel and what you decide to do.
Today, we are going to hear a story about a young Wizard named Lucy. Let’s follow along as she learns to make new potions and see how Zip helps her, too!
[Q effect sound] Before we start our new journey with Lucy, can you tell me about a time when you asked for help?” Press the button after you have finished sharing to continue. 

",na-3,recovery
2,3,2_3,"“Thanks for sharing! Now, let’s move on to hear how superhero helped the Wizard Acanemy student Lucy”

“Every year at the Wizarding Prepatory Academy, there was a potion-making exam that the junior Wizards must take to be able to move onto the next level of potion master training. Every junior Wizard must be able to create a potion that turns a frog into a bouquet of beautiful flowers. But Lucy, a junior Wizard at the academy, was struggling to master potion-making. She had been practicing for weeks; she had read every potion book she could find and followed the directions perfectly. But every time she combined the ingredients in her cauldron, cast the spell from her spellbook, and tested the potion on a frog, she turned the frog into something horrible like a stinky fish, a fat worm, or ugly rat! ”

[Q effect sound] [Stroryline Q] If you were Lucy, what would you do to try and master your potion skills? Discuss with each other. Press the button after you have finished discussion to continue the story. ",na-4,recovery
2,4,2_4,"“Good thinking. Let’s see if that’s what Lucy does!” 
“A few days before the exam, Lucy was practicing her potion skills. After hours of practice with no success, she concentrated as hard as she could, carefully measured her ingredients, and turned the frog into… a bar of ice cream! She felt tears of frustration welling up in her eyes. She told herself, ‘This is hopeless, I just have to accept that I am terrible at making potions. I will never get this right and should just give up!’ Just as she was about to go back to her dormitory and cry, she heard a loud “Whoosh” and suddenly, a mini superhero Zip was standing on her right shoulder!”

Zip said, “Hey Lucy, what do you feel right now?” Lucy replied, “Whoa, who are you?” Lucy exclaimed. “I don’t know how you knew to ask, but I feel SO frustrated. I have tried to make this potion work so many times, and I just can’t. I am starting to wonder if I am good enough to be a wizard at all.” Zip explained that self-talk could help Lucy decide what to think about the things that happen to her, that those thoughts would influence her feelings, and that how she feels will help guide her in deciding what to do. 

Zip continued, “So let’s start with ‘H,’ tell me about what happened.”
“Well,” said Lucy, “I have tried and tried and tried to get this potion right, but every time I say the magic words–poof–my frog turns into just about anything other than a bouquet of flowers. Right now it’s an ice cream bar!”
“I see,” said Zip. “And that’s why you’re feeling so frustrated? And even starting to think some unproductive things–like thinking that you should give up and will never be a wizard?”
Lucy hung her head and nodded glumly.
“Ok,” said Zip, “here’s some magic I want you to try. Together, let’s think of some things you can say to yourself that are supportive and compassionate. Here’s one: ‘I’m proud of myself for trying so hard.’”
Lucy thought to herself for a moment and then said, “I guess… I’m happy because I can eat an ice cream bar?”

Zip laughed and said, “Well, that’s probably true, but let’s see if you can think of something more supportive than that. What can you tell yourself that can help you feel ready to move forward and help you know what to do next?”
Lucy thought some more, then said “Ok, how about this one: ‘It’s great that I’m trying hard and it’s ok not to succeed at first. Lots of new wizards even need help from a teacher when they’re first starting out.”
“Wow!” said Zip, “That is some seriously magical self-talk! And it sounds like you’re already starting to think about what to do next. Here’s an idea: what do you think about asking someone for help?”
[Q effect sound] [SEL Question]: “What do you think about Zip’s idea? Press the button after you have finished sharing to continue. ",na-5,recovery
2,5,2_5,"“Thanksfor sharing, let’s see what Lucy thinks.”

Lucy told Zip that she was embarrassed to ask for help. She worried the professors or her friends would think she was not smart if she couldn’t learn it all on her own.

Zip nodded with understanding. “He said, “sometimes negative thoughts and feelings like that can crowd out the helpful ones. It’s easy to say things to yourself like, ‘I can’t do this. I am not smart enough. People will laugh at me if I ask for their help.’ But those negative thoughts will change how you feel and what you do. And when that voice in your head is telling you unsupportive things, challenges that are already tough become even harder! 

Instead, try talking to yourself with all of the compassion and support you can muster. What can you say that will help you feel prepared to keep going? Now, what was that you said earlier about a lot of new wizards needing to ask for help?” Zip winked at Lucy and said, “I think you were just about to say that asking for help not a sign of failure or a weakness, it takes a lot of courage and is an important part of life.”

Lucy kept practicing her self-talk and by the next day, she had worked up the courage to ask  her potions professor, Danielle, for help. Her professor watched her try out the spell and pointed out three key mistakes along the way. Once Lucy knew what to focus on, her hard work started to pay off. She still needed practice, but after accidentally making herself a few frustrating–but delicious–ice cream bars, Lucy finally created a beautiful bouquet of flowers!

[Q effect sound] [SEL Question]: How do you think Lucy felt after her professor helped her? Press the button after you have finished sharing to continue. ",na-6,recovery
2,6,2_6,"“Good guess. After finally passing her potion exam, Lucy felt glad she had asked for help and proud of accomplishing something new that had been difficult for her. But the thing Lucy felt most proud of was talking herself into trying again and asking for help. Supportive self-talk gave her the boost she needed to feel better, even when things weren’t going well, and think of something productive to try next.”

We have finished today’s story. I have some questions for you to reflect and discuss with your siblings. First question,
[Q effect sound] [SEL Question]: “Now we’ve heard Lily tell herself to be patient with her sister, Monica tell herself to take the hard step of apologizing after making a mistake, and Lucy telling herself that she should keep trying, even when the task at hand seemed impossible. Think of a time when you needed help.  How did you feel after you asked for help? Press the button after you have finished sharing to continue. ",na-7,recovery
2,7,2_7,"“Hopefully you had a good discussion about the times you have asked for help. Sometimes, you will come across problems you cannot solve on your own, so asking for help is a really important skill to have. It is nothing to be embarrassed about. By reaching out to someone you trust for help, you can learn to speak up for yourself. Make sure to thank them for helping you afterward!”

“Thanks for listening to today’s story and learning a new skill of asking for help. Like yesterday, we will have a take home question that I will ask one of you to answer before tomorrow’s story! The question is: “What are some reasons why people should not be afraid to ask for help?”
“Remember to come back tomorrow by login your username and I will tell you another story of our superhero Zip.  Come back tomorrow to learn more about what happened to our Superhero Zip!  You can close the window now. See you tomorrow!",,recovery
2,finish,2_f,Thanks for attending today’s story and learning self-talk skill. Come back tomorrow to learn more about what happened to our Superhero Zip!  You can close the window now. See you tomorrow!,na-finish,recovery
,,,,,
3,greeting,3_g,Thanks for coming back!  Today is day three with our superhero Zip. Let’s see how he will lead us to a new adventure!,na-0,recovery
3,0,3_0,"If you are ready, say I am ready to start day three and press the button.",na-1,recovery
3,1,3_1,"Great! Welcome back to our superhero self-talk story. Welcome back! I hope you’re ready for another story! As you may remember, yesterday,our great superhero Zip encouraged Lucy, a young wizard, to use self-talk when she was struggling to master a challenging potion-making task and about to give up. ask for help when she had trouble with making a potion. Even though Lucy felt embarrassed to ask for help at first, she learned that everyone asks for help at some point and it is a great way to learn.

Can one of you share your answer to the take-home question from yesterday? The question was [Q Sound Effect] “What are some reasons why people should not be afraid to ask for help?",na-2,recovery
3,2,3_2,"Thanks for sharing.  
Today we are going to continue the story with our superhero Zip and see how he can help two siblings use self-talk to calm down their emotions.

Before we start our new journey, I want to ask [Q Sound Effect] if either of you have ever felt frustrated or angry with a friend or family member? Press the button after you have finished sharing to continue. ",na-3,recovery
3,3,3_3,[Q Sound Effect] Can you tell me why you felt angry and what you did when you were upset? Press the button after you have finished sharing. ,na-4,recovery
3,4,3_4,"Thanks for sharing.Sometimes it can be hard to tackle these negative feelings.

Today we are going to hear about how Zip helps two siblings handle their frustration after an argument. Nina and her younger brother Noah have a special ability that runs in their family: they turn into goblins whenever they become extremely angry! Let’s move on to our story. 

One day, Noah kept going into Nina’s room to borrow her special quill pen because he wanted to draw with it. Nina kept yelling at him to go away because she worked hard to save up for the quill and didn’t want anyone using it. “NOAH STOP COMING INTO MY ROOM! YOU ALREADY HAVE YOUR OWN QUILLS TO DRAW WITH,” she screamed.

Noah didn’t like being yelled at and got really angry. He transformed into a goblin and started shrieking and causing a mess. He threw things around and began to jump ups and downs on Nina’s bed. This made Nina lose her patience and she also transformed into a goblin.

[Q Effect Sound][Learning Question] Why did Nina and Noah turn into goblins? If you were Nina or Noah, what would you have done differently? Press the button after you have finished sharing to continue. ",na-5,recovery
3,5,3_5,"Zip noticed the commotion and decided to see what was going on. Instead of using his super strength to fight the goblins, he decided to fix the situation by letting each sibling explain their side of the story. “Hey! What’s going on?” he asked.

Nina said, “Noah kept going into my room to take my quill even though I kept saying no so I yelled at him!”. 
Noah snapped back, “I wanted to use her quill because they were cooler than mine. But she kept screaming at me and I got so mad!”

Zip noticed their anger and said, “Wow, you two are just yelling hurtful things at each other and it is causing you two to become goblins! I know this is hard but I want you two to use supportive self-talk. First, let’s examine how you are feeling and also imagine how the other feel during the fight. Remember, when we feel angry with someone, we  we should use superhero self-talk skills and take three deep breath first.”

“One breath, two breath, three breath” [breath sound effect]

Nina then said quietly to herself “When Noah take my stuff even though I said no for many times, I feel annoyed because Noah are not listening to me and respecting my stuff. It’s ok to feel frustrated but I also want to be a good sister and not make the situation worse.” Nina thought for a while and decided to tell Noah how she felt,”I feel annoyed because you are not respecting me. If you really need my quill, I can lend it to you. We can ask our Dad to buy us more later.”

[Q Effect Sound][Learning Question] Now it’s your turn to be creative. How would Noah use self-talk to help him? Press the button after you have finished sharing to continue. ",na-6,recovery
3,6,3_6,"Noah told Nina, “I don’t like being yelled at and I just wanted you to share with me. When you do that, I get really mad and sad because I think it is unfair. If you had said it nicely, I would not being that mad and turned into a goblin. I agree that we can ask our Dad to buy more quills for both of us later.”

Zip explained that it is important to recognize when you feel angry and talk to the person about why you feel angry instead of blowing up at them. And it is also important to use self-talk to check your emitons, take a deep breath, and tell yourself what kind of person you want to be before act.  So after talking out their feelings despite being upset, Nina and Noah transformed back into humans. 

Finally,  they worked out their argument. Nina agreed to lend her quill to Noah. After that they asked their Dad to buy more quills to use in the future. They were both happy about the results thanks to the help from our superhero Zip. 
",na-7,recovery
3,7,3_7,"We have finished today’s story. I have some questions for you to reflect and discuss with your siblings. First question,

[Q Effect Sound] It’s not always easy to handle angry emotions. Why do you think it may be hard to talk out your feelings with other people when you feel frustrated?",na-8,recovery
3,8,3_8,"Hopefully you had a good discussion with your partner about the difficulties of handling anger. Everyone gets angry at times but if you treat that anger with kindness and patience, it can help calm down a frustrating situation. By using self-talk to first noice your own feelings and then communicate your feelings to others in a helpful way, you can learn to manage difficult situations and strengthen your friendships with other people. 

Before we end, I want to ask you one more thing: What are some things you can do to handle your emotions when you feel angry and frustrated? Think about this question, and I will ask you to share with me during tomorrow's story time.

Thanks for listening to today’s story and learning a new skill – managing strong emotions. Remember to come back tomorrow to learn more about what happened to our Superhero Zip! See you tomorrow! ",na-finish,
3,finish,3_f,Thanks for attending today’s story and learning self-talk skill. Come back tomorrow to learn more about what happened to our Superhero Zip!  You can close the window now. See you tomorrow!,na-finish,recovery
4,greeting,4_g,Thanks for coming back!  Today is day four with our superhero Zip. Let’s see how he will lead us to a new adventure!,na-0,recovery
4,0,4_0,"If you are ready, say I am ready to start day three and press the button.",na-1,recovery
4,1,4_1,"Welcome back! Last time, we heard about how Zip helped two siblings who were so angry they turned into goblins. Before we begin today’s story, let’s see what you remember!

[Question effect sound] Last time I asked, “What is something you want to tell yourself the next time you’re feeling angry or frustrated?” Can you tell me about that? After you have finished sharing, press the button to continue.",na-2,recovery
4,2,4_2,"Great, thanks for sharing. Remember, you can always use H-T-F-D, happen, think, feel and do to help you feel ready to cope with any emotion. It’s not always easy to feel strong feelings, so remember to take three breaths and use self-talk to change how you think about what happens to you, which changes how you feel about it. 
Today we are going to continue the story of our superhero Zip and see if he can help Juno, the youngest sibling in the Umbra family to overcome her self-doubt using supportive self-talk.

Before we start our new journey, I have a question for you. [Question effect sound] Have you ever felt a lack of confidence?  After you have finished sharing, press the button to continue. ",na-3,recovery
4,3,4_3,"Thanks for sharing with me. We all sometimes feel a lack of confidenceespecially when we start learning a new skill, need to perform well or pass a exam, or face new changes. Today we are going to see how Zip helps Juno confront her self-doubt using supportive self-talk.  
Juno came from a family of famous swordsmiths, the legendary Umbra family. She wanted to learn the family craft of making majestic swords, so that she could carry on the family legacy. Their swords were used in epic battles against dragons and supervillains. However, sword making did not come easily to her. Juno had a lot of trouble creating strong swords. The ones she made were either too small, too weak, or not comfortable to use in battle. 
One day when Juno was working, our supervillain Hex noticed her inside the workshop and saw the weak sword she was working on. He said “Hey, aren’t you the youngest member of the Umbra family?” She looked up in surprise; she didn’t even know anyone had been watching her. Before Juno could answer, Hex continued: “So the rumors are true! You really are terrible at making swords; you’re even worse than I imagined! You’ll never live up to your family name.” Hex’s words hit Juno like an arrow to her heart. She looked straight down at the sword she was working on, scrubbing it furiously with a steel wool polishing cloth, hoping Hex wouldn’t see that her lip was trembling. She thought about her older sister Alvina and her older brothers Eris and Clem and the powerful, elegant swords–with impossibly thin blades and jewel-encrusted hilts–that they turned out day after day. She had never made anything like that, and a lump rose in her throat thinking about Hex’s words. “He’s right, she told herself. I’ll never be able to do that.”Hex grinned to himself watching Juno on the verge of tears. He didn’t know what she was thinking, but he felt sure negative self-talk was setting in. He laughed evily and flew away.

Fortunately, Zip had been tracking Hex, knowing he was up to no good. When saw Hex fly off, he knew trouble had to be brewing nearby. After searching carefully in every nook and cranny, Zip finally spotted a sniffling Juno.

“Hey there,” Zip said gently, “I just saw an acquaintance of mine named Hex fly out of here. I hate to say it, but he has a bad habit of getting kids to use negative self-talk. You didn’t notice him doing that here, did you?”

“Negative self-talk?” Juno replied. “What’s that?” 

“Ah,” said Zip, “Negative self-talk is a very sneaky trickster. It is all the things we tell ourselves that make us feel hopeless and sad. It can creep into our minds when we least expect it and ruin good moments and make bad moments harder. Is there any chance you’ve been talking to yourself negatively?”

Juno let out a sob of frustration as the dam inside her broke and all her thoughts came tumbling out. “I’ve been telling myself that everyone in my family but me can make beautiful swords, and I’m going to be an embarrassment to my whole family. I’ve been telling myself that I am awful at this and it’s only a matter of time before everyone else finds out! But that’s not negative self-talk” she went on, “that’s just the truth!”

Zip smiled sympathetically. “I know just how you feel, and I know you have a big challenge ahead of you to master your family craft. But what happens next depends on you and what you decide to do. What you tell yourself will affect how you think, how you feel, what you do–and even what those swords look like. So tell me this, what does it take to become a masterful swordmaker?”

“I dunno,” Juno said sullenly. “Years of practice and hard work. Good teachers. Careful stone-setting techniques. The finest tools. Steady fingers and a sharp eye. All things I don’t have!”

“That’s a great list!” said Zip. “And you may be right–perhaps you haven’t had the years of practice and hard work that it takes to develop those steady fingers and sharp eyes. But I’m proud of you for being right here in this workshop where that practice and hard work can begin. I know you have the motivation to build this skill, but I think you need some positive self-talk, too. So, instead of telling yourself, ‘I am awful at this and it’s only a matter of time before everyone else finds out,’ I want you to say, ‘I am awful at this and it’s only a matter of time before I get better. I have faith that if I practice, work hard, and watch what the experts do, I will become an expert myself.”


[Learning question] Sometimes we all struggle with something we haven’t learned to do well yet. Have you ever felt like a beginner who didn’t know what to do? How do you think someone should talk to themselves in that situation? After you have finished sharing, press the button to continue.",na-4,recovery
4,4,4_4,"Thanks for sharing with me and perhaps with your sibling, too.
Although Juno gradually started to feel better, the story doesn’t end there. When supervillain Hex discovered that his plans had been foiled, he became enraged. “This is the last time Zip will talk to one of these sniveling children,” Hex swore to himself. “I know the mountain where he sleeps, and when he wakes tomorrow, he’s going to be in for quite a surprise.”
Tomorrow in our final chapter, we’ll find out if Hex is successful in his plot of revenge. But today, I have a few last questions for you. 
[Q Effect Sound]  Think about the things that you are struggling with. Can one of you share one thing you want to tell yourself when you’re thinking about this challenge?  After you have finished sharing, press the button to continue.
",na-5,recovery
4,5,4_5,"Thanks for sharing. Remember we all face challenges in our lives. But how we talk to ourselves will influence our attitudes toward the challenges. If when we have challenges we remember to use supportive self-talk, even if the challenges are still there, we will have courage and confidence to face them. You can tell yourself, “All I need to do is try my best. If it doesn’t work, I’ll still be proud of myself for trying, and I’ll have a chance to try again in the future”. That will carry you through difficulties and challenges. 
Before we end our day’s story. I want to leave you a take home question: 
How do you think being persistent and confident can affect your life?

Think about this question, and I will ask one of you to share with me during tomorrow's story time.
“Thanks for listening to today’s story about learning persistence and confidence. Come back tomorrow when Hex and Zip will face each other at last in our final episode.  You can close the window now. See you tomorrow!",na-finish,recovery
4,finish,4_f,Thanks for attending today’s story and learning self-talk skill. Come back tomorrow to learn more about what happened to our Superhero Zip! See you tomorrow! ,na-finish,recovery
5,greeting,5_g,Thanks for coming back!  Today is day five with our superhero Zip. Let’s see how he will lead us to a new adventure!,na-0,recovery
5,0,5_0,"If you are ready, say I am ready to start day five and press the button.",na-1,recovery
5,1,5_1,"Welcome back to our superhero vs. supervillain story. I hope you’re excited to hear our final installment today–what will happen with Zip and Hex face each other at last? Before we find out, let’s revisit our question from yesterday.
Yesterday I asked, [Question Effect Sound] “How do you think being persistent and confident can affect your life?” Can you tell me what you think? After you have finished sharing, press the button to continue. ",na-2,recovery
5,2,5_2,"Thanks for sharing; those are great insights. And now without further do, let’s see how things end for our superhero Zip.
When Hex arrived on the mountaintop, he found himself enveloped by a cold, dense fog. “Zip sleeps here??” he thought to himself, “how strange.”

The fog blocked his view in every direction, yet Hex instinctively crouched low to avoid being seen. He crept forward slowly with his arms outstretched, hoping to feel his way through the blinding fog. He clambered up and around giant boulders and inched his way past steep crags. At last, his hands felt what he had been hoping to find: the entrance to Zip’s cave.

Meanwhile, Zip slept peacefully in his secret cave, dreaming of Juno and Lily, Nina and Monica, Noah and Lucy, and all the other children he had watched become kinder and stronger that week. As he breathed gently in and out, he suddenly sat bolt upright–something was amiss! He felt the hairs on the back of his neck stand up and every nerve in his body was alert. What was wrong? Was someone there? He glanced from side to side, shaking sleep from his eyes, but all he could see in every direction was a thick, cold fog. 

He heard nothing, saw nothing. Perhaps he had been mistaken. Zip sighed and started to lay down again. “I must be miscalibrated,” he said to himself. “Too many adventures and too much excitement lately.” 

But before he could pull the blankets back over him, Hex burst into view. “I’VE GOT YOU NOW!” he shouted. “GIVE UP, ZIP; YOU’RE OUT OF OPTIONS!”

Zip instantly snapped into action, leaping from his bed to full engagement in a fraction of a second, hovering above the ground with his fists up. “I should have known it was you,” he said. “But you can’t catch me off guard that easily.”

“OH CAN’T I?” Hex retorted, whipping out a can of smelly spray and frantically spraying Zip who began hacking and coughing and waving his arms. “Ugh, Hex! What is that?? It’s horrid!”

“HAHA!” said Hex. “I know it is! It’s my seriously stupendous smelltacular stink spray, and now it’s all over YOU! Now NO children will want to be anywhere near you!”


[Question Effect Sound]: Now Zip is covered in Hex’s putrid potion. What do you think he’ll do to get himself out of this mess?
After you have shared your answer, press the button to continue. ",na-3,recovery
5,3,5_3,"Great guess, let’s see if Zip thinks of that. 

“Hex,” Zip sighed, “why don’t you want me to teach children about supportive self-talk? And why do you teach them to tell themselves hurtful things?”

Hex pulled out his smelly spray angrily and looked like he was about to deploy it again. But just as he was about to press the nozzle, he let his arm fall down to his side in defeat. To Zip’s surprise, he saw Hex’s eyes filling with tears. 

“EVERYONE THINKS YOU’RE BETTER THAN ME!” Hex spluttered. “You’ve always been the better superhero: faster, stronger, better at self-talk. No one will ever want to be around me if they notice they could have you as their superhero instead. So if they don’t want me, I don’t want them to have any super hero at all! They can just be stuck being sad about their problems just like I’m stuck being sad about mine!

[Question Effect Sound] What do you think Zip and Hex are each feeling right now? After you have finished sharing, press the button to continue. ",na-4,recovery
